disease,description
Leptospirosis,"Leptospirosis is a blood infection caused by the bacterium Leptospira that can infect humans, dogs, rodents and many other wild and domesticated animals. Signs and symptoms can range from none to mild (headaches, muscle pains, and fevers) to severe (bleeding in the lungs or meningitis)."
Leukemia,Leukemia (also spelled leukaemia; pronounced  loo-KEE-mee-ə) is a group of blood cancers that usually begin in the bone marrow and produce high numbers of abnormal blood cells. These blood cells are not fully developed and are called blasts or leukemia cells.
Lice,"Louse (pl.: lice) is the common name for any member of the clade Phthiraptera, which contains nearly 5,000 species of wingless parasitic insects. Phthiraptera has variously been recognized as an order, infraorder, or a parvorder, as a result of developments in phylogenetic research."
Lung cancer,"Lung cancer, also known as lung carcinoma, is a malignant tumor that begins in the lung. Lung cancer is caused by genetic damage to the DNA of cells in the airways, often caused by cigarette smoking or inhaling damaging chemicals."
Lupus erythematosus,"Lupus erythematosus is a collection of autoimmune diseases in which the human immune system becomes hyperactive and attacks healthy tissues. Symptoms of these diseases can affect many different body systems, including joints, skin, kidneys, blood cells, heart, and lungs."
Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards."
Lymphoma,Lymphoma is a group of blood and lymph tumors that develop from lymphocytes (a type of white blood cell). The name typically refers to just the cancerous versions rather than all such tumours.
Mad cow disease,"Bovine spongiform encephalopathy (BSE), commonly known as mad cow disease, is an incurable and invariably fatal neurodegenerative disease of cattle. Symptoms include abnormal behavior, trouble walking, and weight loss."
Malaria,"Malaria is a mosquito-borne infectious disease that affects vertebrates and Anopheles mosquitoes. Human malaria causes symptoms that typically include fever, fatigue, vomiting, and headaches."
Marburg fever,"Marburg virus disease (MVD), formerly Marburg hemorrhagic fever (MHF) is a viral hemorrhagic fever in human and non-human primates caused by either of the two Marburgviruses: Marburg virus (MARV) and Ravn virus (RAVV). Its clinical symptoms are very similar to those of Ebola virus disease (EVD)."
Mastitis,"Mastitis is inflammation of the breast or udder, usually associated with breastfeeding. Symptoms typically include local pain and redness."
Measles,"Measles  (probably from Middle Dutch or Middle High German masel(e), meaning ""blemish, blood blister"") is a highly contagious, vaccine-preventable infectious disease caused by measles virus. Other names include morbilli, rubeola, 9-day measles, red measles, and English measles."
Melanoma,"Melanoma is the most dangerous type of skin cancer; it develops from the  melanin-producing cells known as melanocytes. It typically occurs in the skin, but may rarely occur in the mouth, intestines, or eye (uveal melanoma)."
Middle East respiratory syndrome coronavirus (MERS‐CoV),No summary available.
Migraine,"Migraine (UK: , US: ) is a complex neurological disorder characterized by episodes of moderate-to-severe headache, most often unilateral and generally associated with nausea, and light and sound sensitivity. Other characterizing symptoms may include vomiting, cognitive dysfunction, allodynia, and dizziness."
Mononucleosis,"Infectious mononucleosis (IM, mono), also known as glandular fever, is an infection usually caused by the Epstein–Barr virus (EBV). Most people are infected by the virus as children, when the disease produces few or no symptoms."
Mouth Breathing,No summary available.
Multiple myeloma,"Multiple myeloma (MM), also known as plasma cell myeloma and simply myeloma, is a cancer of plasma cells, a type of white blood cell that normally produces antibodies. Often, no symptoms are noticed initially."
Multiple sclerosis,"Multiple sclerosis (MS) is an autoimmune disease resulting in damage to myelin – the insulating covers of nerve cells – in the brain and spinal cord. As a demyelinating disease, MS disrupts the nervous system's ability to transmit signals, resulting in a range of signs and symptoms, including physical, mental, and sometimes psychiatric problems."
Mumps,"Mumps is a highly contagious viral disease caused by the mumps virus. Initial symptoms of mumps are non-specific and include fever, headache, malaise, muscle pain, and loss of appetite."
Muscular dystrophy,"Muscular dystrophies (MD) are a genetically and clinically heterogeneous group of rare neuromuscular diseases that cause progressive weakness and breakdown of skeletal muscles over time. The disorders differ as to which muscles are primarily affected, the degree of weakness, how fast they worsen, and when symptoms begin."
Myasthenia gravis,"Myasthenia gravis (MG) is a long-term neuromuscular junction disease that leads to varying degrees of skeletal muscle weakness. The most commonly affected muscles are those of the eyes, face, and swallowing."
Myelitis,"Myelitis is inflammation of the spinal cord which can disrupt the normal responses from the brain to the rest of the body, and from the rest of the body to the brain. Inflammation in the spinal cord can cause the myelin and axon to be damaged resulting in symptoms such as paralysis and sensory loss."
Myocardial Infarction (Heart Attack),No summary available.
Myopia,"Myopia, also known as near-sightedness and short-sightedness, is an eye disease where light from distant objects focuses in front of, instead of on, the retina. As a result, distant objects appear blurry, while close objects appear normal."
Narcolepsy,"Narcolepsy is a chronic neurological disorder that impairs the ability to regulate sleep–wake cycles, and specifically impacts REM (rapid eye movement) sleep. The pentad symptoms of narcolepsy include excessive daytime sleepiness (EDS), sleep-related hallucinations, sleep paralysis, disturbed nocturnal sleep (DNS), and cataplexy."
Nasal Polyps,No summary available.
Nausea and Vomiting of Pregnancy and  Hyperemesis gravidarum,No summary available.
Necrotizing Fasciitis,"Necrotizing fasciitis (NF), also known as flesh-eating disease, is an infection that kills the body's soft tissue. It is a serious disease that begins and spreads quickly."
Neonatal Respiratory Disease Syndrome(NRDS),No summary available.
Neoplasm,A neoplasm () is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia.
Neuralgia,"Neuralgia (Greek neuron, ""nerve"" + algos, ""pain"") is pain in the distribution of a nerve or nerves, as in intercostal neuralgia, trigeminal neuralgia, and glossopharyngeal neuralgia.


== Classification ==
Under the general heading of neuralgia are trigeminal neuralgia (TN), atypical trigeminal neuralgia (ATN), occipital neuralgia, glossopharyngeal neuralgia and postherpetic neuralgia (caused by shingles or herpes)."
Nipah virus infection,"Nipah virus infection is an infection caused by the Nipah virus. Symptoms from infection vary from none to fever, cough, headache, shortness of breath, and confusion."
Obesity,"Obesity is a medical condition, considered by multiple organizations to be a disease, in which excess body fat has accumulated to such an extent that it can potentially have negative effects on health. People are classified as obese when their body mass index (BMI)—a person's weight divided by the square of the person's height—is over 30 kg/m2; the range 25–30 kg/m2 is defined as overweight."
Obsessive Compulsive Disorder,"Obsessive–compulsive disorder (OCD) is a mental and behavioral disorder in which an individual has intrusive thoughts (an obsession) and feels the need to perform certain routines (compulsions) repeatedly to relieve the distress caused by the obsession, to the extent where it impairs general function.
Obsessions are persistent unwanted thoughts, mental images or urges that generate feelings of anxiety, disgust or discomfort."
Oral Cancer,"Oral cancer, also known as oral cavity cancer, tongue cancer or mouth cancer, is a cancer of the lining of the lips, mouth, or upper throat. In the mouth, it most commonly starts as a painless red or white patch, that thickens, gets ulcerated and continues to grow."
Orbital Dermoid,No summary available.
Osteoarthritis,"Osteoarthritis (OA) is a type of degenerative joint disease that results from breakdown of joint cartilage and underlying bone. It is believed to be the fourth leading cause of disability in the world, affecting 1 in 7 adults in the United States alone."
Osteomyelitis,"Osteomyelitis (OM) is the infectious inflammation of bone marrow. Symptoms may include pain in a specific bone with overlying redness, fever, and weakness."
Osteoporosis,"Osteoporosis is a systemic skeletal disorder characterized by low bone mass, micro-architectural deterioration of bone tissue leading to more porous bone, and consequent increase in fracture risk.
It is the most common reason for a broken bone among the elderly."
Paratyphoid fever,"Paratyphoid fever, also known simply as paratyphoid, is a bacterial infection caused by one of three types of Salmonella enterica. Symptoms usually begin 6–30 days after exposure and are the same as those of typhoid fever."
Parkinson's Disease,"Parkinson's disease (PD), or simply Parkinson's, is a neurodegenerative disease primarily of the central nervous system, affecting both motor and non-motor systems. Symptoms typically develop gradually, with non-motor issues becoming more prevalent as the disease progresses."
Pelvic inflammatory disease,"Pelvic inflammatory disease (PID), also known as pelvic inflammatory disorder, is an infection of the upper part of the female reproductive system, mainly the uterus, fallopian tubes, and ovaries, and inside of the pelvis. Often, there may be no symptoms."
Perennial Allergic Conjunctivitis,No summary available.
Pericarditis,"Pericarditis (PER-i-kar-DYE-tis) is inflammation of the pericardium, the fibrous sac surrounding the heart. Symptoms typically include sudden onset of sharp chest pain, which may also be felt in the shoulders, neck, or back."
Peritonitis,"Peritonitis is inflammation of the localized or generalized peritoneum, the lining of the inner wall of the abdomen and covering of the abdominal organs. Symptoms may include severe pain, swelling of the abdomen, fever, or weight loss."
Pinguecula,A pinguecula is a common type of conjunctival stromal degeneration in the eye. It appears as an elevated yellow-white plaque in the bulbar conjunctiva near the limbus.
Pneumonia,"Pneumonia is an inflammatory condition of the lung primarily affecting the small air sacs known as alveoli. Symptoms typically include some combination of productive or dry cough, chest pain, fever, and difficulty breathing."
Poliomyelitis,"Poliomyelitis ( POH-lee-oh-MY-ə-LY-tiss), commonly shortened to polio, is an infectious disease caused by the poliovirus. Approximately 75% of cases are asymptomatic; mild symptoms which can occur include sore throat and fever; in a proportion of cases more severe symptoms develop such as headache, neck stiffness, and paresthesia."
Polycystic ovary syndrome (PCOS),No summary available.
Porphyria,"Porphyria ( or ) is a group of disorders in which substances called porphyrins build up in the body, adversely affecting the skin or nervous system. The types that affect the nervous system are also known as acute porphyria, as symptoms are rapid in onset and short in duration."
Post Menopausal Bleeding,No summary available.
Post-herpetic neuralgia,"Postherpetic neuralgia (PHN) is neuropathic pain that occurs due to damage to a peripheral nerve caused by the reactivation of the varicella zoster virus (herpes zoster, also known as shingles). PHN is defined as pain in a dermatomal distribution that lasts for at least 90 days after an outbreak of herpes zoster."
Postpartum depression/ Perinatal depression,No summary available.
Preeclampsia,"Pre-eclampsia is a multi-system disorder specific to pregnancy, characterized by the new onset of high blood pressure and often a significant amount of protein in the urine or by the new onset of high blood pressure along with significant end-organ damage, with or without the proteinuria. When it arises, the condition begins after 20 weeks of pregnancy."
Premenstrual syndrome,Premenstrual syndrome (PMS) is a disruptive set of emotional and physical symptoms that regularly occur in the one to two weeks before the start of each menstrual period. Symptoms resolve around the time menstrual bleeding begins.
Presbyopia,"Presbyopia is a physiological insufficiency of optical accommodation associated with the aging of the eye; it results in progressively worsening ability to focus clearly on close objects. Also known as age-related farsightedness (or as age-related long sight in the UK), it affects many adults over the age of 40."
Preterm birth,"Preterm birth, also known as premature birth, is the birth of a baby at fewer than 37 weeks gestational age, as opposed to full-term delivery at approximately 40 weeks. Extreme preterm is less than 28 weeks, very early preterm birth is between 28 and 32 weeks, early preterm birth occurs between 32 and 34 weeks, late preterm birth is between 34 and 36 weeks' gestation."
Progeria,"Progeria is a specific type of progeroid syndrome, also known as Hutchinson–Gilford syndrome or Hutchinson–Gilford progeroid syndrome (HGPS). A single gene mutation is responsible for causing progeria."
Psoriasis,"Psoriasis is a long-lasting, noncontagious autoimmune disease characterized by patches of abnormal skin. These areas are red, pink, or purple, dry, itchy, and scaly."
Puerperal sepsis,"Postpartum infections, also known as childbed fever and puerperal fever, are any bacterial infections of the female reproductive tract following childbirth or miscarriage. Signs and symptoms usually include a fever greater than 38.0 °C (100.4 °F), chills, lower abdominal pain, and possibly bad-smelling vaginal discharge."
Pulmonary embolism,"Pulmonary embolism (PE) is a blockage of an artery in the lungs by a substance that has moved from elsewhere in the body through the bloodstream (embolism). Symptoms of a PE may include shortness of breath, chest pain particularly upon breathing in, and coughing up blood."
Ques fever,No summary available.
Quinsy,No summary available.
Rabies,"Rabies is a viral disease that causes encephalitis in humans and other mammals. It was historically referred to as hydrophobia (""fear of water"") because its victims panic when offered liquids to drink."
Raynaud's Phenomenon,"Raynaud syndrome, also known as Raynaud's phenomenon, is a medical condition in which the spasm of small arteries causes episodes of reduced blood flow to end arterioles. Typically the fingers, and, less commonly, the toes, are involved."
Repetitive strain injury,"A repetitive strain injury (RSI) is an injury to part of the musculoskeletal or nervous system caused by repetitive use, vibrations, compression or long periods in a fixed position. Other common names include repetitive stress injury, repetitive stress disorders, cumulative trauma disorders (CTDs), and overuse syndrome."
Rheumatic fever,"Rheumatic fever (RF) is an inflammatory disease that can involve the heart, joints, skin, and brain. The disease typically develops two to four weeks after a streptococcal throat infection."
Rheumatism,"Rheumatism  or rheumatic disorders are conditions causing chronic, often intermittent pain affecting the joints or connective tissue. Rheumatism does not designate any specific disorder, but covers at least 200 different conditions, including arthritis and  ""non-articular rheumatism"", also known as ""regional pain syndrome"" or ""soft tissue rheumatism""."
Rickets,"Rickets, scientific nomenclature: rachitis (from Greek ῥαχίτης rhakhítēs, meaning 'in or of the spine'), is a condition that results in weak or soft bones in children and may have either dietary deficiency or genetic causes. Symptoms include bowed legs, stunted growth, bone pain, large forehead, and trouble sleeping."
Rift Valley fever,"Rift Valley fever (RVF) is a viral disease of humans and livestock that can cause mild to severe symptoms. The mild symptoms may include: fever, muscle pains, and headaches which often last for up to a week."
Rocky Mountain spotted fever,"Rocky Mountain spotted fever (RMSF) is a bacterial disease spread by ticks. It typically begins with a fever and headache, which is followed a few days later with the development of a rash."
Rubella,"Rubella, also known as German measles or three-day measles, is an infection caused by the rubella virus. This disease is often mild, with half of people not realizing that they are infected."
SARS,"Severe acute respiratory syndrome (SARS) is a viral respiratory disease of zoonotic origin caused by the virus SARS-CoV-1, the first identified strain of the SARS-related coronavirus. The first known cases occurred in November 2002, and the syndrome caused the 2002–2004 SARS outbreak."
SIDS,"Sudden infant death syndrome (SIDS), sometimes known as cot death or crib death, is the sudden unexplained death of a child of less than one year of age. Diagnosis requires that the death remain unexplained even after a thorough autopsy and detailed death scene investigation."
Sarcoidosis,"Sarcoidosis (; also known as Besnier–Boeck–Schaumann disease) is a disease involving abnormal collections of inflammatory cells that form lumps known as granulomata. The disease usually begins in the lungs, skin, or lymph nodes."
Sarcoma,"A sarcoma is a rare type of cancer that arises from cells of mesenchymal origin. Originating from mesenchymal cells means that sarcomas are cancers of connective tissues such as bone, cartilage, muscle, fat, or vascular tissues."
Scabies,"Scabies (; also sometimes known as the seven-year itch) is a contagious human skin infestation by the tiny (0.2–0.45 mm) mite Sarcoptes scabiei, variety hominis. The word is from Latin: scabere, lit. 'to scratch'."
Scarlet fever,"Scarlet fever, also known as scarlatina, is an infectious disease caused by Streptococcus pyogenes, a Group A streptococcus (GAS). It most commonly affects children between five and 15 years of age."
Schizophrenia,"Schizophrenia is a mental disorder characterized variously by hallucinations (typically, hearing voices), delusions, disorganized thinking and behavior, and flat or inappropriate affect. Symptoms develop gradually and typically begin during young adulthood and are never resolved."
Sciatica,"Sciatica is pain going down the leg from the lower back. This pain may go down the back, outside, or front of the leg."
Scrapie,"Scrapie () is a fatal, degenerative disease affecting the nervous systems of sheep and goats. It is one of several transmissible spongiform encephalopathies (TSEs), and as such it is thought to be caused by a prion."
Scrub Typhus,No summary available.
Scurvy,"Scurvy is a deficiency disease (state of malnutrition) resulting from a lack of vitamin C (ascorbic acid). Early symptoms of deficiency include weakness, fatigue, and sore arms and legs."
Sepsis,"Sepsis is a potentially life-threatening condition that arises when the body's response to infection causes injury to its own tissues and organs.
This initial stage of sepsis is followed by suppression of the immune system."
Sexually transmitted infections (STIs),No summary available.
Shaken Baby Syndrome,"Shaken baby syndrome (SBS), also known as abusive head trauma (AHT), is a controversial and scientifically disputed medical condition in children younger than five years old, hypothesized to be caused by blunt trauma, vigorous shaking, or a combination of both.
According to literature, the condition is caused by violent shaking with or without blunt impact that can lead to long-term health consequences for infants or children."
Shigellosis,"Shigellosis, known historically as dysentery, is an infection of the intestines caused by Shigella bacteria. Symptoms generally start one to two days after exposure and include diarrhea, fever, abdominal pain, and feeling the need to pass stools even when the bowels are empty."
Shin splints,"A shin splint, also known as medial tibial stress syndrome, is pain along the inside edge of the shinbone (tibia) due to inflammation of tissue in the area. Generally this is between the middle of the lower leg and the ankle."
Shingles,"Shingles, also known as herpes zoster or zona, is a viral disease characterized by a painful skin rash with blisters in a localized area. Typically the rash occurs in a single, wide mark either on the left or right side of the body or face."
Sickle-cell anemia,"Sickle cell disease (SCD), also simply called sickle cell, is a group of hemoglobin-related blood disorders that are typically inherited. The most common type is known as sickle cell anemia."
Smallpox,"Smallpox was an infectious disease caused by Variola virus (often called Smallpox virus),  which belongs to the genus Orthopoxvirus. The last naturally occurring case was diagnosed in October 1977, and the World Health Organization (WHO) certified the global eradication of the disease in 1980, making smallpox the only human disease to have been eradicated to date."
Stevens-Johnson syndrome,"Stevens–Johnson syndrome (SJS) is a type of severe skin reaction. Together with toxic epidermal necrolysis (TEN) and Stevens–Johnson/toxic epidermal necrolysis (SJS/TEN) overlap, they are considered febrile mucocutaneous drug reactions and probably part of the same spectrum of disease, with SJS being less severe."
Stomach ulcers,"Peptic ulcer disease is when the inner part of the stomach's gastric mucosa (lining of the stomach), the first part of the small intestine, or sometimes the lower esophagus, gets damaged. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
Strep throat,"Streptococcal pharyngitis, also known as streptococcal sore  throat (strep throat), is pharyngitis (an infection of the pharynx, the back of the throat) caused by Streptococcus pyogenes, a gram-positive, group A streptococcus. Common symptoms include fever, sore throat, red tonsils, and enlarged lymph nodes in the front of the neck."
Stroke,"Stroke is a medical condition in which poor blood flow to a part of the brain causes cell death. There are two main types of stroke: ischemic, due to lack of blood flow, and hemorrhagic, due to bleeding."
Sub-conjunctival Haemorrhage,No summary available.
Syphilis,"Syphilis () is a sexually transmitted infection caused by the bacterium Treponema pallidum subspecies pallidum. The signs and symptoms depend on the stage it presents: primary, secondary, latent or tertiary."
Taeniasis,Taeniasis is an infection within the intestines by adult tapeworms belonging to the genus Taenia. There are generally no or only mild symptoms.
Taeniasis/cysticercosis,No summary available.
Tay-Sachs disease,"Tay–Sachs disease is an inherited lysosomal storage disease that results in the destruction of nerve cells in the brain and spinal cord. The most common form is infantile Tay–Sachs disease, which becomes apparent around the age of three to six months of age, with the infant losing the ability to turn over, sit, or crawl."
Tennis elbow,"Tennis elbow, also known as lateral epicondylitis is an enthesopathy (attachment point disease) of the origin of the extensor carpi radialis brevis on the lateral epicondyle.  It causes pain and tenderness over the bony part of the lateral epicondyle."
Tetanus,"Tetanus (from Ancient Greek  τέτανος 'tension, stretched, rigid'), also known as lockjaw, is a bacterial infection caused by Clostridium tetani and characterized by muscle spasms. In the most common type, the spasms begin in the jaw and then progress to the rest of the body."
Thalassaemia,"Thalassemias are a group of inherited blood disorders that manifest as the production of reduced hemoglobin. Symptoms depend on the type of thalassemia and can vary from none to severe, including death."
Tinnitus,"Tinnitus is a condition when a person hears a ringing sound or a different variety of sound when no corresponding external sound is present and other people cannot hear it. Nearly everyone experiences faint ""normal tinnitus"" in a completely quiet room; but this is of concern only if it is bothersome, interferes with normal hearing, or is associated with other problems."
Tonsillitis,Tonsillitis is inflammation of the tonsils in the upper part of the throat. It can be acute or chronic.
Toxic shock syndrome,"Toxic shock syndrome (TSS) is a condition caused by bacterial toxins. Symptoms may include fever, rash, skin peeling, and low blood pressure."
Trachoma,Trachoma is an infectious disease caused by bacterium Chlamydia trachomatis. The infection causes a roughening of the inner surface of the eyelids.
Trichinosis,"Trichinosis, also known as trichinellosis, is a parasitic disease caused by roundworms of the Trichinella genus. During the initial infection, invasion of the intestines can result in diarrhea, abdominal pain, and vomiting."
Trichomoniasis,Trichomoniasis (trich) is an infectious disease caused by the parasite Trichomonas vaginalis. About 70% of affected people do not have symptoms when infected.
Tuberculosis,"Tuberculosis (TB), also known colloquially as the ""white death"", or historically as consumption, is a contagious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but it can also affect other parts of the body."
Tularemia,"Tularemia, also known as rabbit fever, is an infectious disease caused by the bacterium Francisella tularensis. Symptoms may include fever, skin ulcers, and enlarged lymph nodes."
Turners Syndrome,"Turner syndrome (TS), commonly known as 45,X, or 45,X0, is a chromosomal disorder in which female cells have only one X chromosome instead of two, or are partially missing an X chromosome (sex chromosome monosomy) leading to the complete or partial deletion of the pseudoautosomal regions (PAR1, PAR2) in the affected X chromosome. Typically, people have two sex chromosomes (XX for females or XY for males)."
Urticaria,"Hives, also known as urticaria, is a kind of skin rash with red and/or flesh-colored, raised, itchy bumps. Hives may burn or sting."
Varicose Veins,"Varicose veins, also known as varicoses, are a medical condition in which superficial veins become enlarged and twisted. Although usually just a cosmetic ailment, in some cases they cause fatigue, pain, itching, and nighttime leg cramps."
Vasovagal syncope,"Reflex syncope is a brief loss of consciousness due to a neurologically induced drop in blood pressure and/or a  decrease  in  heart  rate. Before an affected person passes out, there may be sweating, a decreased ability to see, or ringing in the ears."
Vitamin B12 Deficiency,"Vitamin B12 deficiency, also known as cobalamin deficiency, is the medical condition in which the blood and tissue have a lower than normal level of vitamin B12. Symptoms can vary from none to severe."
Vitiligo,"Vitiligo (, vi-ti-leye-goh) is a chronic autoimmune disorder that causes patches of skin to lose pigment or color. The cause of vitiligo is unknown, but it may be related to immune system changes, genetic factors, stress, or sun exposure."
Warkany syndrome,No summary available.
Warts,"Warts are non-cancerous viral growths usually occurring on the hands and feet but which can also affect other locations, such as the genitals or face. One or many warts may appear."
Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter."
Yellow Fever,"Yellow fever is a viral disease of typically short duration. In most cases, symptoms include fever, chills, loss of appetite, nausea, muscle pains—particularly in the back—and headaches."
Zika virus disease,"Zika fever, also known as Zika virus disease or simply Zika, is an infectious disease caused by the Zika virus. Most cases have no symptoms, but when present they are usually mild and can resemble dengue fever."
lactose intolerance,"Lactose intolerance is caused by a lessened ability or a complete inability to digest lactose, a sugar found in dairy products. Humans vary in the amount of lactose they can tolerate before symptoms develop."
papilloedema,Papilledema or papilloedema is optic disc swelling that is caused by increased intracranial pressure due to any cause. The swelling is usually bilateral and can occur over a period of hours to weeks.
