disease,precaution_1,precaution_2,precaution_3,precaution_4
Abscess,Stay well-hydrated,Maintain good personal hygiene,Take all prescribed medications,Avoid close contact with sick individuals
Acquired Capillary Haemangioma of Eyelid,Practice stress management techniques,Avoid self-medicating,Follow vaccination schedules,Use mosquito repellent when outdoors
Acquired Immuno Deficiency Syndrome,Avoid sharing personal items,Avoid close contact with sick individuals,Stay well-hydrated,Use protective equipment as needed
Acute encephalitis syndrome,Avoid self-medicating,Take all prescribed medications,Avoid sharing personal items,Practice stress management techniques
Adult Inclusion Conjunctivitis,Eat a balanced and nutritious diet,Practice stress management techniques,Avoid close contact with sick individuals,Use protective equipment as needed
Alcohol Abuse and Alcoholism,Take all prescribed medications,Avoid sharing personal items,Use mosquito repellent when outdoors,Keep chronic conditions under control
Alopecia (hair loss),Keep chronic conditions under control,Stay well-hydrated,Avoid self-medicating,Take all prescribed medications
Alzheimer,Use protective equipment as needed,Avoid self-medicating,Avoid allergens and irritants,Stay well-hydrated
Amaurosis Fugax,Avoid allergens and irritants,Practice stress management techniques,Exercise regularly and moderately,Follow vaccination schedules
Amblyopia,Stay well-hydrated,Follow vaccination schedules,Avoid close contact with sick individuals,Use protective equipment as needed
Amoebiasis,Avoid sharing personal items,Exercise regularly and moderately,Keep chronic conditions under control,Use protective equipment as needed
Anaemia,Exercise regularly and moderately,Maintain good personal hygiene,Avoid sharing personal items,Take all prescribed medications
Aniseikonia,Eat a balanced and nutritious diet,Avoid allergens and irritants,Exercise regularly and moderately,Stay well-hydrated
Anisometropia,Follow vaccination schedules,Keep chronic conditions under control,Use mosquito repellent when outdoors,Avoid close contact with sick individuals
Antepartum hemorrhage (Bleeding in late pregnancy),Stay well-hydrated,Avoid self-medicating,Exercise regularly and moderately,Avoid allergens and irritants
Anthrax,Use mosquito repellent when outdoors,Avoid close contact with sick individuals,Exercise regularly and moderately,Keep chronic conditions under control
Anxiety,Follow vaccination schedules,Use mosquito repellent when outdoors,Use protective equipment as needed,Avoid allergens and irritants
Appendicitis,Follow vaccination schedules,Use protective equipment as needed,Avoid sharing personal items,Stay well-hydrated
Arthritis,Avoid sharing personal items,Use protective equipment as needed,Avoid close contact with sick individuals,Stay well-hydrated
Asbestos-related diseases,Avoid sharing personal items,Take all prescribed medications,Keep chronic conditions under control,Use mosquito repellent when outdoors
Aseptic meningitis,Practice stress management techniques,Use protective equipment as needed,Avoid allergens and irritants,Avoid close contact with sick individuals
Asthma,Use protective equipment as needed,Take all prescribed medications,Avoid close contact with sick individuals,Keep chronic conditions under control
Astigmatism,Avoid allergens and irritants,Exercise regularly and moderately,Avoid self-medicating,Use mosquito repellent when outdoors
Atrophy,Practice stress management techniques,Take all prescribed medications,Avoid sharing personal items,Avoid self-medicating
Autism,Eat a balanced and nutritious diet,Follow vaccination schedules,Avoid allergens and irritants,Avoid self-medicating
Bad Breath (Halitosis),Practice stress management techniques,Use mosquito repellent when outdoors,Exercise regularly and moderately,Follow vaccination schedules
Bell's Palsy,Practice stress management techniques,Follow vaccination schedules,Take all prescribed medications,Avoid self-medicating
Beriberi,Exercise regularly and moderately,Use protective equipment as needed,Avoid self-medicating,Keep chronic conditions under control
Black Death,Avoid allergens and irritants,Practice stress management techniques,Avoid self-medicating,Follow vaccination schedules
Bleeding Gums,Avoid close contact with sick individuals,Keep chronic conditions under control,Use mosquito repellent when outdoors,Avoid sharing personal items
Blindness,Practice stress management techniques,Use protective equipment as needed,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet
Botulism,Use mosquito repellent when outdoors,Maintain good personal hygiene,Avoid close contact with sick individuals,Exercise regularly and moderately
Brain Tumour,Avoid sharing personal items,Keep chronic conditions under control,Follow vaccination schedules,Practice stress management techniques
Breast Cancer / Carcinoma,Avoid allergens and irritants,Follow vaccination schedules,Take all prescribed medications,Exercise regularly and moderately
Bronchitis,Use protective equipment as needed,Avoid sharing personal items,Avoid self-medicating,Take all prescribed medications
Brucellosis,Follow vaccination schedules,Avoid close contact with sick individuals,Take all prescribed medications,Practice stress management techniques
Bubonic plague,Practice stress management techniques,Eat a balanced and nutritious diet,Avoid allergens and irritants,Maintain good personal hygiene
Bunion,Avoid sharing personal items,Avoid self-medicating,Use protective equipment as needed,Exercise regularly and moderately
Burns,Follow vaccination schedules,Avoid sharing personal items,Use protective equipment as needed,Use mosquito repellent when outdoors
Calculi,Avoid self-medicating,Use mosquito repellent when outdoors,Practice stress management techniques,Stay well-hydrated
Campylobacter infection,Exercise regularly and moderately,Avoid allergens and irritants,Take all prescribed medications,Practice stress management techniques
Cancer,Avoid self-medicating,Use protective equipment as needed,Take all prescribed medications,Practice stress management techniques
Candidiasis,Stay well-hydrated,Avoid allergens and irritants,Avoid close contact with sick individuals,Avoid sharing personal items
Carbon monoxide poisoning,Follow vaccination schedules,Exercise regularly and moderately,Avoid allergens and irritants,Take all prescribed medications
Carpal Tunnel Syndrome,Eat a balanced and nutritious diet,Exercise regularly and moderately,Follow vaccination schedules,Avoid allergens and irritants
Cavities,Eat a balanced and nutritious diet,Keep chronic conditions under control,Avoid self-medicating,Avoid close contact with sick individuals
Celiacs disease,Avoid self-medicating,Practice stress management techniques,Avoid allergens and irritants,Keep chronic conditions under control
Cerebral palsy,Keep chronic conditions under control,Avoid sharing personal items,Avoid allergens and irritants,Avoid self-medicating
Chagas disease,Take all prescribed medications,Eat a balanced and nutritious diet,Avoid self-medicating,Avoid allergens and irritants
Chalazion,Exercise regularly and moderately,Keep chronic conditions under control,Take all prescribed medications,Practice stress management techniques
Chickenpox,Use protective equipment as needed,Eat a balanced and nutritious diet,Avoid allergens and irritants,Keep chronic conditions under control
Chikungunya Fever,Take all prescribed medications,Stay well-hydrated,Exercise regularly and moderately,Use protective equipment as needed
Childhood Exotropia,Practice stress management techniques,Maintain good personal hygiene,Keep chronic conditions under control,Follow vaccination schedules
Chlamydia,Practice stress management techniques,Avoid allergens and irritants,Avoid sharing personal items,Stay well-hydrated
Cholera,Use mosquito repellent when outdoors,Keep chronic conditions under control,Avoid close contact with sick individuals,Exercise regularly and moderately
Chorea,Practice stress management techniques,Keep chronic conditions under control,Use protective equipment as needed,Take all prescribed medications
Chronic fatigue syndrome,Eat a balanced and nutritious diet,Take all prescribed medications,Stay well-hydrated,Avoid self-medicating
Chronic obstructive pulmonary disease (COPD),Stay well-hydrated,Keep chronic conditions under control,Avoid allergens and irritants,Follow vaccination schedules
Cleft Lip and Cleft Palate,Maintain good personal hygiene,Avoid close contact with sick individuals,Practice stress management techniques,Take all prescribed medications
Colitis,Stay well-hydrated,Use protective equipment as needed,Eat a balanced and nutritious diet,Practice stress management techniques
Colorectal Cancer,Maintain good personal hygiene,Avoid allergens and irritants,Use protective equipment as needed,Avoid self-medicating
Common cold,Avoid self-medicating,Practice stress management techniques,Follow vaccination schedules,Stay well-hydrated
Condyloma,Use protective equipment as needed,Eat a balanced and nutritious diet,Follow vaccination schedules,Practice stress management techniques
Congenital anomalies (birth defects),Avoid self-medicating,Follow vaccination schedules,Avoid allergens and irritants,Use mosquito repellent when outdoors
Congestive heart disease,Use protective equipment as needed,Exercise regularly and moderately,Practice stress management techniques,Avoid allergens and irritants
Corneal Abrasion,Follow vaccination schedules,Take all prescribed medications,Avoid sharing personal items,Practice stress management techniques
Coronary Heart Disease,Avoid allergens and irritants,Keep chronic conditions under control,Stay well-hydrated,Avoid self-medicating
Coronavirus disease 2019 (COVID-19),Avoid sharing personal items,Keep chronic conditions under control,Use mosquito repellent when outdoors,Use protective equipment as needed
Cough,Maintain good personal hygiene,Avoid self-medicating,Keep chronic conditions under control,Use mosquito repellent when outdoors
Crimean Congo haemorrhagic fever (CCHF),Follow vaccination schedules,Take all prescribed medications,Avoid self-medicating,Stay well-hydrated
Dehydration,Practice stress management techniques,Avoid close contact with sick individuals,Follow vaccination schedules,Exercise regularly and moderately
Dementia,Keep chronic conditions under control,Avoid allergens and irritants,Maintain good personal hygiene,Use mosquito repellent when outdoors
Dengue,Maintain good personal hygiene,Avoid allergens and irritants,Use protective equipment as needed,Take all prescribed medications
Diabetes Mellitus,Eat a balanced and nutritious diet,Keep chronic conditions under control,Exercise regularly and moderately,Avoid close contact with sick individuals
Diabetic Retinopathy,Exercise regularly and moderately,Maintain good personal hygiene,Avoid self-medicating,Avoid close contact with sick individuals
Diarrhea,Use protective equipment as needed,Avoid allergens and irritants,Practice stress management techniques,Avoid sharing personal items
Diphtheria,Avoid self-medicating,Keep chronic conditions under control,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet
Down's Syndrome,Avoid sharing personal items,Eat a balanced and nutritious diet,Practice stress management techniques,Follow vaccination schedules
Dracunculiasis (guinea-worm disease),Follow vaccination schedules,Maintain good personal hygiene,Avoid allergens and irritants,Avoid sharing personal items
Dysentery,Avoid self-medicating,Stay well-hydrated,Keep chronic conditions under control,Avoid allergens and irritants
Ear infection,Avoid close contact with sick individuals,Avoid self-medicating,Take all prescribed medications,Avoid sharing personal items
Early pregnancy loss,Practice stress management techniques,Exercise regularly and moderately,Follow vaccination schedules,Avoid allergens and irritants
Ebola,Avoid self-medicating,Follow vaccination schedules,Maintain good personal hygiene,Avoid allergens and irritants
Eclampsia,Stay well-hydrated,Use protective equipment as needed,Avoid self-medicating,Exercise regularly and moderately
Ectopic pregnancy,Use mosquito repellent when outdoors,Avoid sharing personal items,Maintain good personal hygiene,Avoid close contact with sick individuals
Eczema,Exercise regularly and moderately,Keep chronic conditions under control,Avoid allergens and irritants,Use mosquito repellent when outdoors
Endometriosis,Practice stress management techniques,Avoid close contact with sick individuals,Exercise regularly and moderately,Follow vaccination schedules
Epilepsy,Follow vaccination schedules,Avoid sharing personal items,Use mosquito repellent when outdoors,Use protective equipment as needed
Fibroids,Eat a balanced and nutritious diet,Practice stress management techniques,Avoid self-medicating,Exercise regularly and moderately
Fibromyalgia,Exercise regularly and moderately,Take all prescribed medications,Avoid close contact with sick individuals,Use protective equipment as needed
Food Poisoning,Eat a balanced and nutritious diet,Use protective equipment as needed,Maintain good personal hygiene,Take all prescribed medications
Frost Bite,Avoid close contact with sick individuals,Eat a balanced and nutritious diet,Avoid sharing personal items,Take all prescribed medications
GERD,Keep chronic conditions under control,Take all prescribed medications,Eat a balanced and nutritious diet,Practice stress management techniques
Gaming disorder,Avoid sharing personal items,Keep chronic conditions under control,Use mosquito repellent when outdoors,Exercise regularly and moderately
Gangrene,Maintain good personal hygiene,Stay well-hydrated,Take all prescribed medications,Use mosquito repellent when outdoors
Gastroenteritis,Avoid sharing personal items,Stay well-hydrated,Follow vaccination schedules,Avoid allergens and irritants
Genital herpes,Maintain good personal hygiene,Keep chronic conditions under control,Follow vaccination schedules,Take all prescribed medications
Glaucoma,Follow vaccination schedules,Avoid sharing personal items,Stay well-hydrated,Use protective equipment as needed
Goitre,Avoid sharing personal items,Eat a balanced and nutritious diet,Avoid allergens and irritants,Follow vaccination schedules
Gonorrhea,Stay well-hydrated,Avoid close contact with sick individuals,Exercise regularly and moderately,Maintain good personal hygiene
Guillain-Barré syndrome,Use mosquito repellent when outdoors,Exercise regularly and moderately,Use protective equipment as needed,Keep chronic conditions under control
Haemophilia,Use protective equipment as needed,Maintain good personal hygiene,Keep chronic conditions under control,Avoid sharing personal items
"Hand, Foot and Mouth Disease",Avoid self-medicating,Practice stress management techniques,Exercise regularly and moderately,Eat a balanced and nutritious diet
Heat-Related Illnesses and Heat waves,Use protective equipment as needed,Eat a balanced and nutritious diet,Exercise regularly and moderately,Avoid close contact with sick individuals
Hepatitis,Take all prescribed medications,Exercise regularly and moderately,Avoid sharing personal items,Practice stress management techniques
Hepatitis A,Avoid allergens and irritants,Avoid self-medicating,Take all prescribed medications,Maintain good personal hygiene
Hepatitis B,Avoid close contact with sick individuals,Avoid self-medicating,Maintain good personal hygiene,Stay well-hydrated
Hepatitis C,Avoid close contact with sick individuals,Avoid self-medicating,Exercise regularly and moderately,Maintain good personal hygiene
Hepatitis D,Use protective equipment as needed,Avoid allergens and irritants,Avoid self-medicating,Take all prescribed medications
Hepatitis E,Avoid close contact with sick individuals,Avoid sharing personal items,Exercise regularly and moderately,Use protective equipment as needed
Herpes Simplex,Maintain good personal hygiene,Keep chronic conditions under control,Use mosquito repellent when outdoors,Follow vaccination schedules
High risk pregnancy,Avoid sharing personal items,Use protective equipment as needed,Use mosquito repellent when outdoors,Maintain good personal hygiene
Human papillomavirus,Avoid close contact with sick individuals,Follow vaccination schedules,Avoid allergens and irritants,Avoid self-medicating
Hypermetropia,Use protective equipment as needed,Follow vaccination schedules,Avoid self-medicating,Stay well-hydrated
Hyperthyroidism,Avoid close contact with sick individuals,Exercise regularly and moderately,Follow vaccination schedules,Use protective equipment as needed
Hypothyroid,Avoid close contact with sick individuals,Avoid self-medicating,Practice stress management techniques,Take all prescribed medications
Hypotonia,Take all prescribed medications,Use protective equipment as needed,Avoid allergens and irritants,Eat a balanced and nutritious diet
Impetigo,Eat a balanced and nutritious diet,Avoid allergens and irritants,Keep chronic conditions under control,Stay well-hydrated
Inflammatory Bowel Disease,Eat a balanced and nutritious diet,Exercise regularly and moderately,Stay well-hydrated,Follow vaccination schedules
Influenza,Avoid self-medicating,Practice stress management techniques,Eat a balanced and nutritious diet,Take all prescribed medications
Insomnia,Follow vaccination schedules,Keep chronic conditions under control,Avoid close contact with sick individuals,Use mosquito repellent when outdoors
Interstitial cystitis,Take all prescribed medications,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors,Practice stress management techniques
Iritis,Take all prescribed medications,Stay well-hydrated,Avoid sharing personal items,Exercise regularly and moderately
Iron Deficiency Anemia,Use protective equipment as needed,Practice stress management techniques,Avoid self-medicating,Stay well-hydrated
Irritable bowel syndrome,Practice stress management techniques,Avoid sharing personal items,Stay well-hydrated,Use protective equipment as needed
Japanese Encephalitis,Avoid allergens and irritants,Avoid close contact with sick individuals,Use mosquito repellent when outdoors,Maintain good personal hygiene
Jaundice,Avoid allergens and irritants,Avoid sharing personal items,Eat a balanced and nutritious diet,Follow vaccination schedules
Kala-azar/ Leishmaniasis,Stay well-hydrated,Follow vaccination schedules,Take all prescribed medications,Avoid sharing personal items
Kaposi’s Sarcoma,Maintain good personal hygiene,Avoid close contact with sick individuals,Practice stress management techniques,Take all prescribed medications
