disease,precaution_1,precaution_2,precaution_3,precaution_4
Keratoconjunctivitis Sicca (Dry eye syndrome),Use protective equipment as needed,Use mosquito repellent when outdoors,Stay well-hydrated,Maintain good personal hygiene
Keratoconus,Keep chronic conditions under control,Follow vaccination schedules,Practice stress management techniques,Stay well-hydrated
Kuru,Take all prescribed medications,Stay well-hydrated,Avoid allergens and irritants,Follow vaccination schedules
Laryngitis,Keep chronic conditions under control,Follow vaccination schedules,Avoid close contact with sick individuals,Use mosquito repellent when outdoors
Lead poisoning,Avoid self-medicating,Follow vaccination schedules,Practice stress management techniques,Avoid allergens and irritants
Legionellosis,Avoid close contact with sick individuals,Avoid sharing personal items,Eat a balanced and nutritious diet,Keep chronic conditions under control
Leprosy,Follow vaccination schedules,Maintain good personal hygiene,Avoid allergens and irritants,Practice stress management techniques
Leptospirosis,Eat a balanced and nutritious diet,Keep chronic conditions under control,Avoid allergens and irritants,Avoid sharing personal items
Leukemia,Avoid close contact with sick individuals,Eat a balanced and nutritious diet,Follow vaccination schedules,Maintain good personal hygiene
Lice,Stay well-hydrated,Exercise regularly and moderately,Practice stress management techniques,Eat a balanced and nutritious diet
Lung cancer,Avoid close contact with sick individuals,Avoid allergens and irritants,Keep chronic conditions under control,Take all prescribed medications
Lupus erythematosus,Maintain good personal hygiene,Avoid allergens and irritants,Exercise regularly and moderately,Practice stress management techniques
Lyme disease,Avoid allergens and irritants,Practice stress management techniques,Maintain good personal hygiene,Take all prescribed medications
Lymphoma,Use protective equipment as needed,Practice stress management techniques,Maintain good personal hygiene,Stay well-hydrated
Mad cow disease,Take all prescribed medications,Exercise regularly and moderately,Stay well-hydrated,Keep chronic conditions under control
Malaria,Avoid self-medicating,Avoid allergens and irritants,Eat a balanced and nutritious diet,Take all prescribed medications
Marburg fever,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors,Use protective equipment as needed,Stay well-hydrated
Mastitis,Take all prescribed medications,Avoid sharing personal items,Follow vaccination schedules,Eat a balanced and nutritious diet
Measles,Use mosquito repellent when outdoors,Stay well-hydrated,Maintain good personal hygiene,Follow vaccination schedules
Melanoma,Practice stress management techniques,Avoid close contact with sick individuals,Use protective equipment as needed,Exercise regularly and moderately
Middle East respiratory syndrome coronavirus (MERS‐CoV),Eat a balanced and nutritious diet,Avoid close contact with sick individuals,Avoid allergens and irritants,Take all prescribed medications
Migraine,Stay well-hydrated,Use protective equipment as needed,Avoid self-medicating,Avoid close contact with sick individuals
Mononucleosis,Stay well-hydrated,Avoid sharing personal items,Use mosquito repellent when outdoors,Practice stress management techniques
Mouth Breathing,Avoid sharing personal items,Maintain good personal hygiene,Exercise regularly and moderately,Take all prescribed medications
Multiple myeloma,Avoid allergens and irritants,Keep chronic conditions under control,Use protective equipment as needed,Stay well-hydrated
Multiple sclerosis,Maintain good personal hygiene,Follow vaccination schedules,Keep chronic conditions under control,Avoid allergens and irritants
Mumps,Avoid close contact with sick individuals,Use protective equipment as needed,Use mosquito repellent when outdoors,Exercise regularly and moderately
Muscular dystrophy,Use protective equipment as needed,Keep chronic conditions under control,Practice stress management techniques,Stay well-hydrated
Myasthenia gravis,Maintain good personal hygiene,Follow vaccination schedules,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors
Myelitis,Use mosquito repellent when outdoors,Practice stress management techniques,Avoid close contact with sick individuals,Exercise regularly and moderately
Myocardial Infarction (Heart Attack),Avoid sharing personal items,Keep chronic conditions under control,Eat a balanced and nutritious diet,Use protective equipment as needed
Myopia,Stay well-hydrated,Eat a balanced and nutritious diet,Practice stress management techniques,Avoid close contact with sick individuals
Narcolepsy,Maintain good personal hygiene,Stay well-hydrated,Follow vaccination schedules,Avoid sharing personal items
Nasal Polyps,Avoid close contact with sick individuals,Exercise regularly and moderately,Avoid self-medicating,Stay well-hydrated
Nausea and Vomiting of Pregnancy and  Hyperemesis gravidarum,Follow vaccination schedules,Avoid self-medicating,Maintain good personal hygiene,Practice stress management techniques
Necrotizing Fasciitis,Stay well-hydrated,Follow vaccination schedules,Take all prescribed medications,Exercise regularly and moderately
Neonatal Respiratory Disease Syndrome(NRDS),Eat a balanced and nutritious diet,Stay well-hydrated,Practice stress management techniques,Maintain good personal hygiene
Neoplasm,Keep chronic conditions under control,Use mosquito repellent when outdoors,Maintain good personal hygiene,Take all prescribed medications
Neuralgia,Exercise regularly and moderately,Stay well-hydrated,Practice stress management techniques,Keep chronic conditions under control
Nipah virus infection,Avoid allergens and irritants,Avoid close contact with sick individuals,Practice stress management techniques,Take all prescribed medications
Obesity,Use mosquito repellent when outdoors,Use protective equipment as needed,Avoid sharing personal items,Avoid close contact with sick individuals
Obsessive Compulsive Disorder,Maintain good personal hygiene,Use mosquito repellent when outdoors,Stay well-hydrated,Take all prescribed medications
Oral Cancer,Take all prescribed medications,Avoid sharing personal items,Avoid self-medicating,Stay well-hydrated
Orbital Dermoid,Follow vaccination schedules,Maintain good personal hygiene,Practice stress management techniques,Stay well-hydrated
Osteoarthritis,Avoid sharing personal items,Use protective equipment as needed,Practice stress management techniques,Use mosquito repellent when outdoors
Osteomyelitis,Stay well-hydrated,Avoid self-medicating,Exercise regularly and moderately,Avoid allergens and irritants
Osteoporosis,Eat a balanced and nutritious diet,Avoid self-medicating,Maintain good personal hygiene,Avoid close contact with sick individuals
Paratyphoid fever,Use protective equipment as needed,Avoid close contact with sick individuals,Eat a balanced and nutritious diet,Follow vaccination schedules
Parkinson's Disease,Take all prescribed medications,Avoid self-medicating,Eat a balanced and nutritious diet,Avoid sharing personal items
Pelvic inflammatory disease,Avoid sharing personal items,Use protective equipment as needed,Take all prescribed medications,Follow vaccination schedules
Perennial Allergic Conjunctivitis,Maintain good personal hygiene,Take all prescribed medications,Practice stress management techniques,Follow vaccination schedules
Pericarditis,Avoid close contact with sick individuals,Use protective equipment as needed,Eat a balanced and nutritious diet,Follow vaccination schedules
Peritonitis,Stay well-hydrated,Use protective equipment as needed,Avoid self-medicating,Maintain good personal hygiene
Pinguecula,Avoid allergens and irritants,Avoid self-medicating,Maintain good personal hygiene,Stay well-hydrated
Pneumonia,Avoid self-medicating,Take all prescribed medications,Keep chronic conditions under control,Avoid sharing personal items
Poliomyelitis,Avoid close contact with sick individuals,Practice stress management techniques,Avoid self-medicating,Avoid allergens and irritants
Polycystic ovary syndrome (PCOS),Maintain good personal hygiene,Avoid self-medicating,Eat a balanced and nutritious diet,Practice stress management techniques
Porphyria,Exercise regularly and moderately,Maintain good personal hygiene,Avoid self-medicating,Stay well-hydrated
Post Menopausal Bleeding,Maintain good personal hygiene,Use protective equipment as needed,Follow vaccination schedules,Stay well-hydrated
Post-herpetic neuralgia,Avoid self-medicating,Avoid allergens and irritants,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors
Postpartum depression/ Perinatal depression,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet,Take all prescribed medications,Maintain good personal hygiene
Preeclampsia,Keep chronic conditions under control,Practice stress management techniques,Avoid allergens and irritants,Use protective equipment as needed
Premenstrual syndrome,Avoid close contact with sick individuals,Avoid allergens and irritants,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet
Presbyopia,Use protective equipment as needed,Avoid allergens and irritants,Take all prescribed medications,Practice stress management techniques
Preterm birth,Exercise regularly and moderately,Avoid sharing personal items,Stay well-hydrated,Avoid allergens and irritants
Progeria,Use protective equipment as needed,Avoid self-medicating,Stay well-hydrated,Avoid sharing personal items
Psoriasis,Practice stress management techniques,Eat a balanced and nutritious diet,Avoid allergens and irritants,Maintain good personal hygiene
Puerperal sepsis,Avoid self-medicating,Avoid allergens and irritants,Stay well-hydrated,Avoid close contact with sick individuals
Pulmonary embolism,Practice stress management techniques,Use protective equipment as needed,Keep chronic conditions under control,Avoid self-medicating
Ques fever,Eat a balanced and nutritious diet,Avoid self-medicating,Exercise regularly and moderately,Avoid close contact with sick individuals
Quinsy,Avoid close contact with sick individuals,Avoid allergens and irritants,Use protective equipment as needed,Use mosquito repellent when outdoors
Rabies,Keep chronic conditions under control,Eat a balanced and nutritious diet,Avoid sharing personal items,Use mosquito repellent when outdoors
Raynaud's Phenomenon,Use protective equipment as needed,Stay well-hydrated,Keep chronic conditions under control,Avoid sharing personal items
Repetitive strain injury,Exercise regularly and moderately,Stay well-hydrated,Take all prescribed medications,Eat a balanced and nutritious diet
Rheumatic fever,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors,Avoid sharing personal items,Avoid self-medicating
Rheumatism,Stay well-hydrated,Avoid sharing personal items,Use protective equipment as needed,Take all prescribed medications
Rickets,Avoid self-medicating,Practice stress management techniques,Exercise regularly and moderately,Eat a balanced and nutritious diet
Rift Valley fever,Use mosquito repellent when outdoors,Keep chronic conditions under control,Use protective equipment as needed,Take all prescribed medications
Rocky Mountain spotted fever,Avoid allergens and irritants,Maintain good personal hygiene,Practice stress management techniques,Follow vaccination schedules
Rubella,Stay well-hydrated,Exercise regularly and moderately,Practice stress management techniques,Avoid allergens and irritants
SARS,Avoid allergens and irritants,Use protective equipment as needed,Follow vaccination schedules,Stay well-hydrated
SIDS,Avoid self-medicating,Keep chronic conditions under control,Avoid allergens and irritants,Avoid sharing personal items
Sarcoidosis,Avoid sharing personal items,Keep chronic conditions under control,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet
Sarcoma,Exercise regularly and moderately,Practice stress management techniques,Avoid self-medicating,Stay well-hydrated
Scabies,Take all prescribed medications,Maintain good personal hygiene,Use protective equipment as needed,Use mosquito repellent when outdoors
Scarlet fever,Avoid allergens and irritants,Practice stress management techniques,Use mosquito repellent when outdoors,Keep chronic conditions under control
Schizophrenia,Follow vaccination schedules,Use protective equipment as needed,Use mosquito repellent when outdoors,Practice stress management techniques
Sciatica,Eat a balanced and nutritious diet,Practice stress management techniques,Take all prescribed medications,Follow vaccination schedules
Scrapie,Avoid self-medicating,Eat a balanced and nutritious diet,Stay well-hydrated,Practice stress management techniques
Scrub Typhus,Use mosquito repellent when outdoors,Keep chronic conditions under control,Avoid allergens and irritants,Stay well-hydrated
Scurvy,Maintain good personal hygiene,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors,Take all prescribed medications
Sepsis,Practice stress management techniques,Avoid allergens and irritants,Maintain good personal hygiene,Use protective equipment as needed
Sexually transmitted infections (STIs),Maintain good personal hygiene,Stay well-hydrated,Eat a balanced and nutritious diet,Keep chronic conditions under control
Shaken Baby Syndrome,Maintain good personal hygiene,Eat a balanced and nutritious diet,Practice stress management techniques,Use mosquito repellent when outdoors
Shigellosis,Avoid allergens and irritants,Avoid close contact with sick individuals,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors
Shin splints,Take all prescribed medications,Stay well-hydrated,Maintain good personal hygiene,Avoid allergens and irritants
Shingles,Practice stress management techniques,Take all prescribed medications,Maintain good personal hygiene,Avoid allergens and irritants
Sickle-cell anemia,Avoid allergens and irritants,Follow vaccination schedules,Stay well-hydrated,Exercise regularly and moderately
Smallpox,Follow vaccination schedules,Avoid allergens and irritants,Eat a balanced and nutritious diet,Take all prescribed medications
Stevens-Johnson syndrome,Eat a balanced and nutritious diet,Avoid sharing personal items,Exercise regularly and moderately,Avoid allergens and irritants
Stomach ulcers,Exercise regularly and moderately,Keep chronic conditions under control,Eat a balanced and nutritious diet,Take all prescribed medications
Strep throat,Avoid self-medicating,Avoid sharing personal items,Avoid allergens and irritants,Practice stress management techniques
Stroke,Eat a balanced and nutritious diet,Follow vaccination schedules,Exercise regularly and moderately,Avoid allergens and irritants
Sub-conjunctival Haemorrhage,Avoid sharing personal items,Avoid self-medicating,Stay well-hydrated,Avoid allergens and irritants
Syphilis,Eat a balanced and nutritious diet,Maintain good personal hygiene,Stay well-hydrated,Exercise regularly and moderately
Taeniasis,Avoid sharing personal items,Use protective equipment as needed,Stay well-hydrated,Use mosquito repellent when outdoors
Taeniasis/cysticercosis,Eat a balanced and nutritious diet,Follow vaccination schedules,Take all prescribed medications,Avoid sharing personal items
Tay-Sachs disease,Maintain good personal hygiene,Take all prescribed medications,Use mosquito repellent when outdoors,Follow vaccination schedules
Tennis elbow,Avoid allergens and irritants,Use mosquito repellent when outdoors,Keep chronic conditions under control,Follow vaccination schedules
Tetanus,Use protective equipment as needed,Avoid self-medicating,Stay well-hydrated,Practice stress management techniques
Thalassaemia,Keep chronic conditions under control,Eat a balanced and nutritious diet,Use mosquito repellent when outdoors,Practice stress management techniques
Tinnitus,Take all prescribed medications,Practice stress management techniques,Avoid sharing personal items,Avoid close contact with sick individuals
Tonsillitis,Use protective equipment as needed,Keep chronic conditions under control,Avoid allergens and irritants,Maintain good personal hygiene
Toxic shock syndrome,Avoid self-medicating,Follow vaccination schedules,Practice stress management techniques,Keep chronic conditions under control
Trachoma,Keep chronic conditions under control,Exercise regularly and moderately,Use protective equipment as needed,Use mosquito repellent when outdoors
Trichinosis,Follow vaccination schedules,Exercise regularly and moderately,Use mosquito repellent when outdoors,Practice stress management techniques
Trichomoniasis,Practice stress management techniques,Stay well-hydrated,Avoid sharing personal items,Keep chronic conditions under control
Tuberculosis,Avoid sharing personal items,Stay well-hydrated,Practice stress management techniques,Eat a balanced and nutritious diet
Tularemia,Avoid self-medicating,Avoid allergens and irritants,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet
Turners Syndrome,Avoid allergens and irritants,Eat a balanced and nutritious diet,Stay well-hydrated,Take all prescribed medications
Urticaria,Avoid sharing personal items,Use protective equipment as needed,Keep chronic conditions under control,Maintain good personal hygiene
Varicose Veins,Stay well-hydrated,Exercise regularly and moderately,Take all prescribed medications,Avoid allergens and irritants
Vasovagal syncope,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet,Follow vaccination schedules,Avoid sharing personal items
Vitamin B12 Deficiency,Follow vaccination schedules,Avoid allergens and irritants,Keep chronic conditions under control,Avoid close contact with sick individuals
Vitiligo,Maintain good personal hygiene,Exercise regularly and moderately,Take all prescribed medications,Stay well-hydrated
Warkany syndrome,Follow vaccination schedules,Exercise regularly and moderately,Avoid allergens and irritants,Maintain good personal hygiene
Warts,Practice stress management techniques,Exercise regularly and moderately,Eat a balanced and nutritious diet,Use protective equipment as needed
Yaws,Avoid self-medicating,Follow vaccination schedules,Use protective equipment as needed,Use mosquito repellent when outdoors
Yellow Fever,Avoid self-medicating,Avoid sharing personal items,Follow vaccination schedules,Eat a balanced and nutritious diet
Zika virus disease,Use mosquito repellent when outdoors,Keep chronic conditions under control,Take all prescribed medications,Practice stress management techniques
lactose intolerance,Use mosquito repellent when outdoors,Eat a balanced and nutritious diet,Exercise regularly and moderately,Use protective equipment as needed
papilloedema,Stay well-hydrated,Take all prescribed medications,Practice stress management techniques,Eat a balanced and nutritious diet
